chats,toxic
бля,-1
бля,-1
ебать че так дешево,-1
салимов душит пиздец,-1
бля хочется,-1
бля,-1
пиздабол века помоему,-1
какая нахуй лекция,-1
блять ильмир ты заебал я же не сказала что перевести не могу,-1
попросите написать сказку или блять фанфик хоть на лямчик слов,-1
бля,-1
да епта заебали,-1
блять ебучее эссе,-1
а бля,-1
бля жестко,-1
вхвхвхх бля после допки,-1
я блять ещё никого столько не ждала сколько абра,-1
бля я тоже ахуеваю,-1
нахуй вам этот экзамен,-1
пиздец сегодня изи было,-1
аааааа ну просто пиздец минус минут уже,-1
пизда,-1
что это блять такое,-1
пиздец она мою домашку не перепроверила,-1
бля пара,-1
ура бля,-1
как блять эта фраза появилась вообще,-1
пиздец,-1
пиздец я думал посложнее будет,-1
бля что это,-1
я рот ебал несовершеннолетие это ваше,-1
пиздец зарегался на хакатон и он с лет,-1
нахуй пайтон,-1
пиздец,-1
кто тот мудак который делал экзамус,-1
бля,-1
я того рот,-1
бля,-1
ой бля вроде как отмечание через вход,-1
пиздец,-1
решил забить хуй на физру кто тоже ставьте лайки,-1
бля ну я если переведусь на спец ,-1
бля сегодня же надо отправить отчет да,-1
пиздец,-1
на кой хер,-1
бля про что речь идет,-1
ебать гений,-1
я ебал,-1
бля,-1
что за хуйня,-1
ебать неправильный ответ,-1
ну типо че бля,-1
щакщак поцарапал весь рот,-1
быдло,-1
бля вот как смотреть летсплэи не от куплинова или мармока,-1
да я рот того ебал,-1
ой бля реально,-1
ну отлично этот способ хуй кто обьяснит и изида это мб не поймет,-1
ебать важный,-1
надеюсь отменят изиду нахуй,-1
пиздец,-1
бля,-1
шо це за пиздец,-1
пиздец,-1
пиздец цор обновили,-1
ну хули чурекские гены хуй выведешь,-1
пойду в осу играть в жопу этот английский ваш,-1
бля как такое возможно,-1
бля,-1
ебать не клоун,-1
пизда,-1
сука я там было только что,-1
бля,-1
ебать лайт опросик был,-1
да блять,-1
ну бля это меня волнует как бы,-1
бля,-1
в жопу пошел мой инет скажете что было из интересного пж,-1
мне кажется я даже не скачаю че за пиздец,-1
а хуй знает,-1
опять это инет сука,-1
а хуй его знает,-1
я хуй знает откуда он там взялся,-1
да забей хуй и иди домой,-1
я хуй знает куда идти тут,-1
сосать,-1
готовьтесь уроды вы за все ответите,-1
у меня крестик на груди блять,-1
бабки бабки сука бабки,-1
пизда,-1
короче надеюсь мы справимся и будем помогать слабым а то у меня некие проблемы в питоне в рот его ебал,-1
бля они гении сэкономят к,-1
ебать генилаьно,-1
ох ебать,-1
всм блять,-1
бля,-1
бля,-1
на чувашском нахуй послал только что,-1
забили хуй она же сказала не будет отмечать первое время,-1
блять,-1
да ну нахуй,-1
ебать ветер на улице сдохнуть можно,-1
бля прикольно,-1
это пиздец,-1
да бля,-1
понял что хуйня,-1
пиздец,-1
пиздец,-1
а тут бля,-1
я вообще блять там умерла на заданиях,-1
